waypoint1	waypoint2	distance_m	duration_s
East Nashville, Nashville, TN	Williamsburg, Brooklyn, NY	1431073	48268
Wicker Park, Chicago, IL	Asheville, NC	1059786	35626
H Street Corridor, Washington, DC	Asheville, NC	774676	26109
Kansas City, MO	Allston-Brighton, Boston, MA	2298078	75638
Providence, RI	Hampden, Baltimore, MD	604967	21460
H Street Corridor, Washington, DC	East Austin, Austin, TX	2458537	80301
Somerville, MA	Asheville, NC	1462131	49890
Charleston, SC	Bushwick, Brooklyn, NY	1230949	41996
Wynwood, Miami, FL	Allston-Brighton, Boston, MA	2389747	77992
Little Five Points, Atlanta, GA	Northern Liberties, Philadelphia, PA	1253967	42218
Kansas City, MO	Wynwood, Miami, FL	2347492	74706
Providence, RI	Northern Liberties, Philadelphia, PA	441904	16272
H Street Corridor, Washington, DC	Savannah, GA	926864	30158
H Street Corridor, Washington, DC	East Nashville, Nashville, TN	1080602	36050
Westheimer Road, Houston, TX	Northern Liberties, Philadelphia, PA	2508445	82289
Wynwood, Miami, FL	Bushwick, Brooklyn, NY	2063610	67634
Westheimer Road, Houston, TX	Allston-Brighton, Boston, MA	2987234	98142
Savannah, GA	Northern Liberties, Philadelphia, PA	1148445	37736
Little Five Points, Atlanta, GA	Allston-Brighton, Boston, MA	1729472	58644
East Nashville, Nashville, TN	Wynwood, Miami, FL	1462627	46540
Wicker Park, Chicago, IL	Bushwick, Brooklyn, NY	1284044	44966
Kansas City, MO	H Street Corridor, Washington, DC	1709033	57897
Little Five Points, Atlanta, GA	Williamsburg, Brooklyn, NY	1400304	47607
Williamsburg, Brooklyn, NY	Wynwood, Miami, FL	2060400	66847
Providence, RI	North Loop, Minneapolis, MN	2225791	74430
H Street Corridor, Washington, DC	Williamsburg, Brooklyn, NY	367346	13704
Little Five Points, Atlanta, GA	North Loop, Minneapolis, MN	1819500	59012
H Street Corridor, Washington, DC	Charleston, SC	857941	28219
North Loop, Minneapolis, MN	Hampden, Baltimore, MD	1793598	60392
Portland, ME	North Loop, Minneapolis, MN	2408265	80131
Somerville, MA	Hampden, Baltimore, MD	656493	23749
Portland, ME	Somerville, MA	177483	6555
H Street Corridor, Washington, DC	Portland, ME	860334	30441
H Street Corridor, Washington, DC	Hampden, Baltimore, MD	65396	3481
North Loop, Minneapolis, MN	Charleston, SC	2126042	70208
Little Five Points, Atlanta, GA	H Street Corridor, Washington, DC	1031109	34361
Providence, RI	Savannah, GA	1577215	52537
Kansas City, MO	East Nashville, Nashville, TN	893407	29066
Williamsburg, Brooklyn, NY	Northern Liberties, Philadelphia, PA	159535	6729
Little Five Points, Atlanta, GA	Wicker Park, Chicago, IL	1162285	38972
Westheimer Road, Houston, TX	Asheville, NC	1630740	53419
Wynwood, Miami, FL	Somerville, MA	2393564	78715
Savannah, GA	Asheville, NC	498608	16352
East Nashville, Nashville, TN	Allston-Brighton, Boston, MA	1775746	59335
H Street Corridor, Washington, DC	Wicker Park, Chicago, IL	1138739	39003
Kansas City, MO	Bushwick, Brooklyn, NY	1926910	66061
Warehouse District, New Orleans, LALouisville, KY	Westheimer Road, Houston, TX	1650286	56462
Allston-Brighton, Boston, MA	Charleston, SC	1557086	52354
Little Five Points, Atlanta, GA	Westheimer Road, Houston, TX	1301855	41986
Westheimer Road, Houston, TX	Hampden, Baltimore, MD	2353525	77117
Providence, RI	Westheimer Road, Houston, TX	2930322	96857
H Street Corridor, Washington, DC	Somerville, MA	700510	25573
Northern Liberties, Philadelphia, PA	Bushwick, Brooklyn, NY	162745	7516
Kansas City, MO	East Austin, Austin, TX	1186897	37832
East Nashville, Nashville, TN	North Loop, Minneapolis, MN	1424754	46025
Williamsburg, Brooklyn, NY	Somerville, MA	340600	13332
Warehouse District, New Orleans, LALouisville, KY	Hampden, Baltimore, MD	853491	29064
Providence, RI	Charleston, SC	1508826	50853
Williamsburg, Brooklyn, NY	Wicker Park, Chicago, IL	1279179	44203
Westheimer Road, Houston, TX	Charleston, SC	1782273	58057
Little Five Points, Atlanta, GA	Bushwick, Brooklyn, NY	1402954	48247
Portland, ME	Bushwick, Brooklyn, NY	503393	18345
Bushwick, Brooklyn, NY	Hampden, Baltimore, MD	325185	12688
East Austin, Austin, TX	North Loop, Minneapolis, MN	1889655	60237
Providence, RI	Allston-Brighton, Boston, MA	87128	3536
Kansas City, MO	Portland, ME	2462555	81114
Kansas City, MO	Hampden, Baltimore, MD	1701320	57682
Warehouse District, New Orleans, LALouisville, KY	Asheville, NC	430566	14782
Kansas City, MO	Westheimer Road, Houston, TX	1210820	41213
Kansas City, MO	Warehouse District, New Orleans, LALouisville, KY	970996	31739
East Austin, Austin, TX	Williamsburg, Brooklyn, NY	2809008	92518
Savannah, GA	North Loop, Minneapolis, MN	2216498	71353
Providence, RI	Williamsburg, Brooklyn, NY	288726	11058
Wicker Park, Chicago, IL	Northern Liberties, Philadelphia, PA	1228714	41657
Warehouse District, New Orleans, LALouisville, KY	Portland, ME	1639565	55387
Somerville, MA	Bushwick, Brooklyn, NY	342289	13538
H Street Corridor, Washington, DC	Northern Liberties, Philadelphia, PA	220353	8539
Charleston, SC	Asheville, NC	430943	14380
Savannah, GA	Allston-Brighton, Boston, MA	1623949	54161
East Austin, Austin, TX	Bushwick, Brooklyn, NY	2813874	93281
Allston-Brighton, Boston, MA	Northern Liberties, Philadelphia, PA	488638	17896
Little Five Points, Atlanta, GA	Asheville, NC	336060	12314
North Loop, Minneapolis, MN	Northern Liberties, Philadelphia, PA	1891286	63260
Asheville, NC	Hampden, Baltimore, MD	824605	28142
Westheimer Road, Houston, TX	Somerville, MA	2991052	98865
Providence, RI	Somerville, MA	87360	3847
Wicker Park, Chicago, IL	Wynwood, Miami, FL	2221623	71626
East Nashville, Nashville, TN	Warehouse District, New Orleans, LALouisville, KY	370648	12772
East Austin, Austin, TX	Wynwood, Miami, FL	2165100	69112
Wynwood, Miami, FL	Hampden, Baltimore, MD	1758450	56624
Warehouse District, New Orleans, LALouisville, KY	Northern Liberties, Philadelphia, PA	1020454	34355
Williamsburg, Brooklyn, NY	Savannah, GA	1296661	43147
Westheimer Road, Houston, TX	Wicker Park, Chicago, IL	1773430	59876
East Nashville, Nashville, TN	Hampden, Baltimore, MD	1139499	38107
Portland, ME	Wynwood, Miami, FL	2553875	83314
East Austin, Austin, TX	Savannah, GA	1812467	60190
Allston-Brighton, Boston, MA	Bushwick, Brooklyn, NY	338917	12868
Westheimer Road, Houston, TX	Portland, ME	3153991	103964
Portland, ME	Hampden, Baltimore, MD	816178	28561
Warehouse District, New Orleans, LALouisville, KY	Williamsburg, Brooklyn, NY	1127680	38689
Portland, ME	Asheville, NC	1624922	54680
Kansas City, MO	Wicker Park, Chicago, IL	824949	27562
North Loop, Minneapolis, MN	Somerville, MA	2237044	75326
Providence, RI	Bushwick, Brooklyn, NY	290267	11177
Portland, ME	Charleston, SC	1719996	57762
East Austin, Austin, TX	East Nashville, Nashville, TN	1390272	45389
North Loop, Minneapolis, MN	Wicker Park, Chicago, IL	655670	22326
Allston-Brighton, Boston, MA	Hampden, Baltimore, MD	651702	23084
Portland, ME	Allston-Brighton, Boston, MA	178322	6803
Wicker Park, Chicago, IL	Charleston, SC	1473627	48984
H Street Corridor, Washington, DC	Allston-Brighton, Boston, MA	695858	24965
Warehouse District, New Orleans, LALouisville, KY	Wicker Park, Chicago, IL	640285	21731
East Nashville, Nashville, TN	Westheimer Road, Houston, TX	1286588	44440
Wicker Park, Chicago, IL	Allston-Brighton, Boston, MA	1581217	53051
Asheville, NC	Bushwick, Brooklyn, NY	1117986	39021
East Nashville, Nashville, TN	Portland, ME	1940223	64812
Kansas City, MO	Williamsburg, Brooklyn, NY	1922045	65298
H Street Corridor, Washington, DC	Providence, RI	649123	23340
East Austin, Austin, TX	Westheimer Road, Houston, TX	246394	8635
Savannah, GA	Wynwood, Miami, FL	776374	24645
North Loop, Minneapolis, MN	Bushwick, Brooklyn, NY	1946616	66570
East Nashville, Nashville, TN	Bushwick, Brooklyn, NY	1435939	49031
East Austin, Austin, TX	Portland, ME	3318158	109062
Kansas City, MO	North Loop, Minneapolis, MN	704136	22749
Westheimer Road, Houston, TX	Savannah, GA	1573425	52284
East Nashville, Nashville, TN	Charleston, SC	889117	29863
