waypoint1	waypoint2	distance_m	duration_s
Los Feliz, Los Angeles, CA	Alberta, Portland, OR	1549525	51077
North Park, San Diego, CA	Somerville, MA	4824756	156660
H Street Corridor, Washington, DC	Savannah, GA	926863	30118
East Nashville, Nashville, TN	Los Feliz, Los Angeles, CA	3234958	102152
The Uptown, Oakland, CA	Portland, ME	5136789	165028
Little Five Points, Atlanta, GA	Downtown, Portland, OR	4174958	134321
Warehouse District, New Orleans, LALouisville, KY	Alberta, Portland, OR	3855700	124286
East Nashville, Nashville, TN	Alberta, Portland, OR	3775182	121454
Boulder, CO	Westheimer Road, Houston, TX	1704655	56578
Pearl District, Portland, OR	Somerville, MA	4968598	161796
Pearl District, Portland, OR	Asheville, NC	4248135	136917
Wicker Park, Chicago, IL	Asheville, NC	1056279	35270
Westheimer Road, Houston, TX	Northern Liberties, Philadelphia, PA	2500235	81480
East Nashville, Nashville, TN	Hampden, Baltimore, MD	1134761	37384
Charleston, SC	Arts District, Los Angeles, CA	3977414	126826
Pearl District, Portland, OR	The Mission, San Francisco, CA	1023535	34618
Silver Lake, Los Angeles, CA	Downtown, Portland, OR	1545681	50825
Williamsburg, Brooklyn, NY	Wynwood, Miami, FL	2056962	66898
H Street Corridor, Washington, DC	Williamsburg, Brooklyn, NY	363908	13475
Williamsburg, Brooklyn, NY	Arts District, Los Angeles, CA	4475195	144380
North Loop, Minneapolis, MN	Hampden, Baltimore, MD	1793379	60210
Kansas City, MO	Los Feliz, Los Angeles, CA	2606450	82226
Capitol Hill, Seattle, WA	H Street Corridor, Washington, DC	4452067	145078
Portland, ME	Somerville, MA	177483	6448
The Mission, San Francisco, CA	Arts District, Los Angeles, CA	615072	20432
Little Five Points, Atlanta, GA	H Street Corridor, Washington, DC	1030932	34186
Silver Lake, Los Angeles, CA	East Nashville, Nashville, TN	3232585	102029
Little Five Points, Atlanta, GA	Wicker Park, Chicago, IL	1158601	38704
Wynwood, Miami, FL	Somerville, MA	2393564	79044
Williamsburg, Brooklyn, NY	Westheimer Road, Houston, TX	2633465	85838
Capitol Hill, Seattle, WA	Wynwood, Miami, FL	5357955	170979
Wynwood, Miami, FL	Downtown, Portland, OR	5234473	167160
East Austin, Austin, TX	The Mission, San Francisco, CA	2835160	89810
Little Five Points, Atlanta, GA	Westheimer Road, Houston, TX	1293761	41391
Silver Lake, Los Angeles, CA	East Austin, Austin, TX	2228292	70447
Capitol Hill, Seattle, WA	Portland, ME	5071439	164996
Williamsburg, Brooklyn, NY	Hampden, Baltimore, MD	318953	11695
Silver Lake, Los Angeles, CA	The Uptown, Oakland, CA	595349	19288
Warehouse District, New Orleans, LALouisville, KY	Wicker Park, Chicago, IL	636778	21637
Little Five Points, Atlanta, GA	Bushwick, Brooklyn, NY	1402919	47911
Portland, ME	Bushwick, Brooklyn, NY	503393	18320
Westheimer Road, Houston, TX	LoHi, Denver, CO	1662308	54859
Silver Lake, Los Angeles, CA	Hampden, Baltimore, MD	4256170	137082
Bushwick, Brooklyn, NY	Arts District, Los Angeles, CA	4478926	144869
Highland Park, Los Angeles, CA	Venice Beach, CA	36559	2023
The Uptown, Oakland, CA	Charleston, SC	4443146	141720
East Austin, Austin, TX	Williamsburg, Brooklyn, NY	2809004	91518
Little Five Points, Atlanta, GA	The Mission, San Francisco, CA	3984571	126546
Pearl District, Portland, OR	Arts District, Los Angeles, CA	1551978	51087
Boulder, CO	Warehouse District, New Orleans, LALouisville, KY	1970271	62553
Portland, ME	Los Feliz, Los Angeles, CA	4964412	159826
Silver Lake, Los Angeles, CA	The Mission, San Francisco, CA	610154	20134
Charleston, SC	Asheville, NC	430943	14177
Kansas City, MO	North Park, San Diego, CA	2505520	83642
Venice Beach, CA	LoHi, Denver, CO	1664178	54262
Kansas City, MO	Wynwood, Miami, FL	2347492	74716
Asheville, NC	Hampden, Baltimore, MD	823498	27808
Boulder, CO	Asheville, NC	2359309	75188
Venice Beach, CA	The Mission, San Francisco, CA	616929	20577
The Uptown, Oakland, CA	The Mission, San Francisco, CA	16742	1103
East Austin, Austin, TX	Arts District, Los Angeles, CA	2221949	70155
Capitol Hill, Seattle, WA	North Park, San Diego, CA	2019993	67649
Hampden, Baltimore, MD	The Mission, San Francisco, CA	4531905	145533
Providence, RI	Hampden, Baltimore, MD	604967	21622
Westheimer Road, Houston, TX	Wicker Park, Chicago, IL	1759147	58778
East Austin, Austin, TX	Charleston, SC	1960935	64760
Asheville, NC	The Mission, San Francisco, CA	4177695	133112
Westheimer Road, Houston, TX	Portland, ME	3146250	103087
Silver Lake, Los Angeles, CA	Kansas City, MO	2604077	82103
Kansas City, MO	LoHi, Denver, CO	969242	29949
Savannah, GA	Charleston, SC	171047	6609
Los Feliz, Los Angeles, CA	Somerville, MA	4803111	154825
The Uptown, Oakland, CA	Northern Liberties, Philadelphia, PA	4619811	147908
LoHi, Denver, CO	North Loop, Minneapolis, MN	1470453	46135
Capitol Hill, Seattle, WA	Williamsburg, Brooklyn, NY	4595222	149746
North Park, San Diego, CA	Pearl District, Portland, OR	1741665	57914
Venice Beach, CA	Downtown, Portland, OR	1552969	51500
Kansas City, MO	Downtown, Portland, OR	2887946	92614
Venice Beach, CA	Savannah, GA	3923617	124686
East Nashville, Nashville, TN	Portland, ME	1936588	64331
Highland Park, Los Angeles, CA	North Loop, Minneapolis, MN	3093477	97710
The Uptown, Oakland, CA	Los Feliz, Los Angeles, CA	593209	19267
Silver Lake, Los Angeles, CA	Warehouse District, New Orleans, LALouisville, KY	3515851	110879
The Uptown, Oakland, CA	LoHi, Denver, CO	2001273	64333
Venice Beach, CA	Los Feliz, Los Angeles, CA	30013	2117
East Austin, Austin, TX	Westheimer Road, Houston, TX	254197	8658
East Austin, Austin, TX	Portland, ME	3318158	108650
Highland Park, Los Angeles, CA	Silver Lake, Los Angeles, CA	15077	842
North Park, San Diego, CA	Providence, RI	4731646	155149
The Uptown, Oakland, CA	Somerville, MA	4975669	161167
East Nashville, Nashville, TN	Westheimer Road, Houston, TX	1269567	42654
Venice Beach, CA	East Nashville, Nashville, TN	3258404	103503
Capitol Hill, Seattle, WA	Savannah, GA	4695354	150567
Wicker Park, Chicago, IL	Downtown, Portland, OR	3410194	109959
East Austin, Austin, TX	Wicker Park, Chicago, IL	1808012	60522
Warehouse District, New Orleans, LALouisville, KY	Williamsburg, Brooklyn, NY	1127680	38097
Providence, RI	Arts District, Los Angeles, CA	4777649	153820
